open_time,open,high,low,close,volume,close_time,quote_volume,MACD,Signal,MACD_Histogram
2023-07-30 21:00:00,2.2412,2.2625,2.2274,2.2564,3390085,2023-07-30 21:59:59.999,7603024.7217,-0.02067311387574744,-0.003584043952593374,-0.017089069923154065
2023-07-30 22:00:00,2.2564,2.2722,2.2462,2.264,2486938,2023-07-30 22:59:59.999,5619490.6375,-0.02186247467652347,-0.007239730097379393,-0.014622744579144076
2023-07-30 23:00:00,2.264,2.3351,2.254,2.2873,6869103,2023-07-30 23:59:59.999,15735129.1213,-0.020686475592499143,-0.009929079196403344,-0.0107573963960958
2023-07-31 00:00:00,2.2873,2.3552,2.2778,2.3169,9345930,2023-07-31 00:59:59.999,21692711.9663,-0.017168111915927042,-0.011376885740308085,-0.005791226175618957
2023-07-31 01:00:00,2.3168,2.3235,2.2909,2.2977,3382154,2023-07-31 01:59:59.999,7791080.7709,-0.015747535110453903,-0.012251015614337248,-0.0034965194961166547
2023-07-31 02:00:00,2.2978,2.3099,2.2847,2.3082,3066863,2023-07-31 02:59:59.999,7043727.8926,-0.013617481657613784,-0.012524308822992557,-0.0010931728346212262
2023-07-31 03:00:00,2.3081,2.3167,2.2822,2.288,2777571,2023-07-31 03:59:59.999,6369875.6109,-0.013404847395045216,-0.01270041653740309,-0.0007044308576421264
2023-07-31 04:00:00,2.2881,2.2984,2.2568,2.27,4023766,2023-07-31 04:59:59.999,9161449.3091,-0.014521389241807015,-0.013064611078283876,-0.0014567781635231383
2023-07-31 05:00:00,2.27,2.2954,2.2682,2.2783,2407834,2023-07-31 05:59:59.999,5497905.286,-0.014568578560588463,-0.013365404574744794,-0.001203173985843669
2023-07-31 06:00:00,2.2784,2.3104,2.2346,2.2551,7968326,2023-07-31 06:59:59.999,18068851.2613,-0.01629023881250502,-0.01395037142229684,-0.0023398673902081807
2023-07-31 07:00:00,2.2552,2.2711,2.2491,2.2551,2692255,2023-07-31 07:59:59.999,6083320.1209,-0.017453474180103346,-0.014650991973858142,-0.0028024822062452034
2023-07-31 08:00:00,2.2553,2.2824,2.2527,2.2745,2795341,2023-07-31 08:59:59.999,6339623.5236,-0.01661836258286442,-0.0150444660956594,-0.001573896487205021
2023-07-31 09:00:00,2.2746,2.2789,2.25,2.2631,1869032,2023-07-31 09:59:59.999,4227883.7526,-0.01668409152995176,-0.015372391182517873,-0.001311700347433888
2023-07-31 10:00:00,2.263,2.287,2.2575,2.285,2166015,2023-07-31 10:59:59.999,4925701.1914,-0.014798447924052383,-0.015257602530824775,0.00045915460677239256
